date | value
2023-01-01 | 1
2023-01-02 | 2.5
2023-01-03 | 3.8
2023-01-04 | 4.2
2023-01-05 | 5
2023-01-06 | 6.1
2023-01-07 | 7.3
2023-01-08 | 8
2023-01-09 | 9.5
2023-01-10 | 10
2023-01-11 | 11.8
2023-01-12 | 12.4
2023-01-13 | 13
2023-01-14 | 14.7
2023-01-15 | 15.9
2023-01-16 | 16.3
2023-01-17 | 17
2023-01-18 | 18.6
2023-01-19 | 19.1
2023-01-20 | 20
2023-01-21 | 21.4
2023-01-22 | 22.8
2023-01-23 | 23.5
2023-01-24 | 24.1
2023-01-25 | 25.7
2023-01-26 | 26.2
2023-01-27 | 27.6
2023-01-28 | 28.3
2023-01-29 | 29.7
2023-01-30 | 30.5
2023-01-31 | 31.2
2023-02-01 | 32
2023-02-02 | 33.5
2023-02-03 | 34.8
2023-02-04 | 36.2
2023-02-05 | 37
2023-02-06 | 38.1
2023-02-07 | 39.3
2023-02-08 | 40
2023-02-09 | 41.5
2023-02-10 | 42.8
2023-02-11 | 44.2
2023-02-12 | 45.6
2023-02-13 | 47
2023-02-14 | 48.7
2023-02-15 | 50
2023-02-16 | 49
2023-02-17 | 48
2023-02-18 | 47
2023-02-19 | 46
2023-02-20 | 45
2023-02-21 | 44
2023-02-22 | 43
2023-02-23 | 42
2023-02-24 | 41
2023-02-25 | 40
2023-02-26 | 41.5
2023-02-27 | 43
2023-02-28 | 44.5
2023-03-01 | 46
2023-03-02 | 47.5
2023-03-03 | 49
2023-03-04 | 50.5
2023-03-05 | 52
2023-03-06 | 53.5
2023-03-07 | 55
